nohup: 忽略输入
1456238183 2812.2 22.49
1456238184 2812.2 22.49
1456238185 2812.3 22.49
1456238186 2812.37 22.49
1456238187 2812.37 22.49
1456238188 2812.42 22.49
1456238188 2812.5 22.49
1456238189 2812.45 22.49
1456238190 2812.45 22.49
1456238191 2812.49 22.49
1456238192 2812.69 22.49
1456238193 2812.68 22.49
1456238194 2812.61 22.49
1456238195 2812.55 22.49
1456238196 2812.61 22.49
1456238197 2812.7 22.49
1456238197 2812.78 22.49
1456238198 2812.8 22.49
1456238199 2812.66 22.49
1456238200 2812.89 22.49
1456238201 2812.99 22.49
1456238202 2812.93 22.49
1456238203 2812.98 22.49
1456238204 2812.94 22.49
1456238205 2813.03 22.49
1456238206 2813.14 22.49
1456238207 2813.14 22.49
1456238207 2813.09 22.49
1456238208 2812.99 22.49
1456238209 2812.99 22.49
1456238210 2813.0 22.49
1456238211 2812.99 22.49
1456238212 2813.0 22.49
1456238213 2813.15 22.49
1456238214 2813.12 22.49
1456238215 2813.14 22.49
1456238216 2813.24 22.49
1456238216 2813.23 22.49
1456238217 2813.12 22.49
1456238218 2813.22 22.49
1456238219 2813.26 22.49
1456238220 2813.25 22.49
1456238221 2813.25 22.49
1456238222 2813.26 22.49
1456238223 2813.26 22.49
1456238224 2813.26 22.49
1456238225 2814.0 22.49
1456238225 2814.0 22.49
1456238226 2814.0 22.49
1456238227 2814.0 22.49
1456238228 2813.99 22.49
1456238229 2813.99 22.49
1456238230 2813.99 22.49
1456238231 2813.99 22.49
1456238232 2813.99 22.49
1456238233 2813.99 22.5
1456238234 2813.99 22.5
1456238234 2813.99 22.5
1456238235 2814.0 22.5
1456238236 2814.0 22.5
1456238237 2814.0 22.5
1456238238 2814.0 22.5
1456238239 2814.0 22.5
1456238240 2814.02 22.5
